page,mean,stdev,bottomMean,midMean
page-001.png,0.845101,0.247666,0.656481,1
page-002.png,0.954319,0.169931,0.679718,1
page-003.png,0.934025,0.207561,0.679721,1
page-004.png,0.938488,0.200759,0.679729,1
page-005.png,0.924039,0.223106,0.67972,0.97942
page-006.png,0.922528,0.205317,0.679738,0.990536
page-007.png,0.913616,0.21881,0.679701,0.950854
page-008.png,0.95858,0.16189,0.679753,1
page-009.png,0.951352,0.175425,0.679739,1
page-010.png,0.94456,0.186305,0.67981,0.998906
page-011.png,0.999599,0.0175892,1,1
page-012.png,0.917506,0.203942,0.999439,0.887606
page-013.png,0.959699,0.15974,0.999977,1
page-014.png,0.954165,0.172886,0.679786,1
page-015.png,0.92017,0.23241,0.914067,0.911135
page-016.png,0.939912,0.200515,1,1
page-017.png,0.908972,0.245812,0.679797,1
page-018.png,0.912287,0.243347,0.935069,0.91441
page-019.png,0.922509,0.226906,1,1
page-020.png,0.941498,0.202719,0.92748,0.954313
page-021.png,0.953596,0.175022,1,1
page-022.png,0.951868,0.181602,0.944156,0.956706
page-023.png,0.958888,0.162965,1,1
page-024.png,1,0,1,1
